2025-12-18 14:22:38 status half-configured libc6:amd64 2.41-12
2025-12-18 14:22:38 status unpacked libc6:amd64 2.41-12
2025-12-18 14:22:38 status half-installed libc6:amd64 2.41-12
2025-12-18 14:22:39 status unpacked libc6:amd64 2.41-12
2025-12-18 14:22:39 install libcap-ng0:amd64 <none> 0.8.5-4+b1
2025-12-18 14:22:39 status half-installed libcap-ng0:amd64 0.8.5-4+b1
2025-12-18 14:22:39 status unpacked libcap-ng0:amd64 0.8.5-4+b1
2025-12-18 14:22:39 install libcap2:amd64 <none> 1:2.75-10+b1
2025-12-18 14:22:39 status half-installed libcap2:amd64 1:2.75-10+b1
2025-12-18 14:22:39 status unpacked libcap2:amd64 1:2.75-10+b1
2025-12-18 14:22:39 install libcrypt1:amd64 <none> 1:4.4.38-1
2025-12-18 14:22:39 status half-installed libcrypt1:amd64 1:4.4.38-1
2025-12-18 14:22:39 status unpacked libcrypt1:amd64 1:4.4.38-1
2025-12-18 14:22:39 install libdb5.3t64:amd64 <none> 5.3.28+dfsg2-9
2025-12-18 14:22:39 status half-installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-12-18 14:22:39 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-12-18 14:22:39 install libdebconfclient0:amd64 <none> 0.280
2025-12-18 14:22:39 status half-installed libdebconfclient0:amd64 0.280
2025-12-18 14:22:39 status unpacked libdebconfclient0:amd64 0.280
2025-12-18 14:22:39 install libgcc-s1:amd64 <none> 14.2.0-19
2025-12-18 14:22:39 status half-installed libgcc-s1:amd64 14.2.0-19
2025-12-18 14:22:39 status unpacked libgcc-s1:amd64 14.2.0-19
2025-12-18 14:22:39 install libgmp10:amd64 <none> 2:6.3.0+dfsg-3
2025-12-18 14:22:39 status half-installed libgmp10:amd64 2:6.3.0+dfsg-3
2025-12-18 14:22:39 status unpacked libgmp10:amd64 2:6.3.0+dfsg-3
2025-12-18 14:22:39 install libhogweed6t64:amd64 <none> 3.10.1-1
2025-12-18 14:22:39 status half-installed libhogweed6t64:amd64 3.10.1-1
2025-12-18 14:22:39 status unpacked libhogweed6t64:amd64 3.10.1-1
2025-12-18 14:22:39 install liblastlog2-2:amd64 <none> 2.41-5
2025-12-18 14:22:39 status half-installed liblastlog2-2:amd64 2.41-5
2025-12-18 14:22:39 status unpacked liblastlog2-2:amd64 2.41-5
2025-12-18 14:22:39 install liblz4-1:amd64 <none> 1.10.0-4
2025-12-18 14:22:39 status half-installed liblz4-1:amd64 1.10.0-4
2025-12-18 14:22:39 status unpacked liblz4-1:amd64 1.10.0-4
2025-12-18 14:22:39 install liblzma5:amd64 <none> 5.8.1-1
2025-12-18 14:22:39 status half-installed liblzma5:amd64 5.8.1-1
2025-12-18 14:22:39 status unpacked liblzma5:amd64 5.8.1-1
2025-12-18 14:22:40 install libmd0:amd64 <none> 1.1.0-2+b1
2025-12-18 14:22:40 status half-installed libmd0:amd64 1.1.0-2+b1
2025-12-18 14:22:40 status unpacked libmd0:amd64 1.1.0-2+b1
2025-12-18 14:22:40 install libmount1:amd64 <none> 2.41-5
2025-12-18 14:22:40 status half-installed libmount1:amd64 2.41-5
2025-12-18 14:22:40 status unpacked libmount1:amd64 2.41-5
2025-12-18 14:22:40 install libnettle8t64:amd64 <none> 3.10.1-1
2025-12-18 14:22:40 status half-installed libnettle8t64:amd64 3.10.1-1
2025-12-18 14:22:40 status unpacked libnettle8t64:amd64 3.10.1-1
2025-12-18 14:22:40 install libpam-modules:amd64 <none> 1.7.0-5
2025-12-18 14:22:40 status half-installed libpam-modules:amd64 1.7.0-5
2025-12-18 14:22:40 status unpacked libpam-modules:amd64 1.7.0-5
2025-12-18 14:22:40 install libpam-modules-bin:amd64 <none> 1.7.0-5
2025-12-18 14:22:40 status half-installed libpam-modules-bin:amd64 1.7.0-5
2025-12-18 14:22:40 status unpacked libpam-modules-bin:amd64 1.7.0-5
2025-12-18 14:22:40 install libpam-runtime:all <none> 1.7.0-5
